Mode,MNLC,MASC,Station,Coverage,Source,Monday Entry,Midweek (Tue-Thu) Entry,Friday Entry,Saturday Entry,Sunday Entry,Monday Exit,Midweek (Tue-Thu) Exit,Friday Exit,Saturday Exit,Sunday Exit,Weekly En/Ex,12-week En/Ex,Annualised En/Ex
EZL,6560,CWXr,Canary Wharf EL,Station entry/exit,taps,"24,598","32,398","24,773","20,246","13,374","25,695","32,807","25,246","21,960","14,151","365,657","4,281,459","17,336,202"
EZL,6874,CTHr,Chadwell Heath,Station entry/exit,taps,"7,472","8,025","7,807","5,589","3,687","7,192","7,579","7,301","4,986","3,559","94,405","1,105,377","4,475,821"
EZL,6561,CUSr,Custom House EL,Station entry/exit,taps,"12,427","15,395","14,024","13,832","7,940","12,790","15,120","13,854","13,761","7,796","187,968","2,200,907","8,911,765"
EZL,560,EBYu,Ealing Broadway,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,577,FARu,Farringdon,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6876,FOGr,Forest Gate,Station entry/exit,taps,"8,858","9,681","9,615","7,549","5,339","8,697","9,478","8,961","6,979","5,274","118,747","1,390,406","5,629,941"
EZL,6877,GDPr,Gidea Park,Station entry/exit,taps,"4,685","5,540","4,661","3,506","1,960","4,340","5,100","4,239","3,043","1,961","60,315","706,224","2,859,597"
EZL,6878,GMYr,Goodmayes,Station entry/exit,taps,"7,129","7,511","7,312","5,275","3,474","7,042","7,316","6,977","4,933","3,366","89,991","1,053,701","4,266,578"
EZL,3191,HANr,Hanwell,Station entry/exit,taps,"3,461","4,418","3,871","3,694","2,949","2,967","3,570","3,224","3,424","2,170","49,725","582,231","2,357,529"
EZL,6879,HROr,Harold Wood,Station entry/exit,taps,"5,639","6,229","5,612","3,650","2,122","5,429","5,934","5,254","3,315","1,895","69,403","812,639","3,290,485"
EZL,3186,HAYr,Hayes & Harlington,Station entry/exit,taps,"13,525","15,252","14,134","12,080","7,910","14,243","15,837","14,454","11,846","8,043","189,500","2,218,844","8,984,396"
